ROW_CSS_CLASS	name	name_HREF	bash	mksh	ksh	toysh	sush	brush	osh
cpp-good	var-ref	var-ref.html	0	-24	-23	-21	-9	-6	5
cpp-good	vars-bash	vars-bash.html	0	-1	-1	-1	-1	0	-1
cpp-good	vars-special	vars-special.html	0	-17	-17	-18	-13	-12	0
cpp-good	var-sub	var-sub.html	0	-1	-1	-3	0	0	1
cpp-good	var-sub-quote	var-sub-quote.html	0	-1	-1	-25	-3	-14	1
cpp-good	whitespace	whitespace.html	0	-2	-2	-4	-2	-2	-2
cpp-good	word-eval	word-eval.html	0	0	0	-3	0	-1	0
cpp-good	word-split	word-split.html	0	-1	0	-18	-2	-14	-2
cpp-good	xtrace	xtrace.html	0	-4	-4	-8	-8	1	4
cpp-good	zsh-assoc	zsh-assoc.html	0	-2	-2	-3	-2	0	-1
cpp-good	zsh-idioms	zsh-idioms.html	0	-1	-1	-1	0	-1	0
